message_id,text,label,sensitive,suggested_queue
MSG0001,What are your branch opening hours near Manchester?,general,true,General Banking
MSG0002,I think there is a transaction I don’t recognise at Tesco for £45.50 yesterday.,fraud,false,Fraud/Economic Crime Prevention
MSG0003,Is there a fee for international transfers to the EU?,general,false,General Banking
MSG0004,What are your branch opening hours near Birmingham?,general,false,General Banking
MSG0005,"Card used in London but I was at home. Please help, this looks like fraud.",fraud,true,Fraud/Economic Crime Prevention
MSG0006,I forgot my online banking password—how can I reset it? You can reach me at morgan.white@example.com,general,true,General Banking
MSG0007,My credit score improved; can you review my APR? My card number ends 4791 5741 2307 4814,credit,true,Credit/Risk
MSG0008,I was declined for an overdraft. Can you explain the decision?,credit,false,Credit/Risk
MSG0009,My account shows a transfer I didn’t make. Can you block and investigate?,fraud,false,Fraud/Economic Crime Prevention
MSG0010,Is there a fee for international transfers to the EU?,general,false,General Banking
MSG0011,I received a call asking for my account number and sort code. Was this you?,fraud,false,Fraud/Economic Crime Prevention
MSG0012,What are your branch opening hours near Bristol?,general,false,General Banking
MSG0013,Someone set up a new payee I don’t know.,fraud,false,Fraud/Economic Crime Prevention
MSG0014,I was promised a refund but it hasn’t arrived after 14 days. My postcode is B33 8TH,dispute,true,Disputes/Chargebacks
MSG0015,Someone set up a new payee I don’t know.,fraud,false,Fraud/Economic Crime Prevention
MSG0016,I’d like to apply for a loan—what documents do you need?,credit,false,Credit/Risk
MSG0017,I’d like to apply for a loan—what documents do you need?,credit,false,Credit/Risk
MSG0018,I received a call asking for my account number and sort code. Was this you? My postcode is SW1A 1AA,fraud,true,Fraud/Economic Crime Prevention
MSG0019,What are your branch opening hours near Bristol?,general,false,General Banking
MSG0020,The hotel charged me twice—please assist with a dispute. You can reach me at taylor.jones@example.com,dispute,true,Disputes/Chargebacks
MSG0021,I want to raise a dispute for a card payment to Booking.com for £120.00.,dispute,false,Disputes/Chargebacks
MSG0022,My account shows a transfer I didn’t make. Can you block and investigate?,fraud,false,Fraud/Economic Crime Prevention
MSG0023,Can I increase my credit card limit? Current limit £120.00 seems low. You can reach me at morgan.lee@example.com,credit,true,Credit/Risk
MSG0024,"Card used in London but I was at home. Please help, this looks like fraud.",fraud,false,Fraud/Economic Crime Prevention
